id,name,timestamp,free_bikes,empty_slots,uid,last_updated,slots,normal_bikes,ebikes
023efce1bbb332a1b918d56aeb671890,Avenida de Arteixo,2024-12-18 11:36:56.361000+00:00,5,10,53,1734521716,15,4,1
02cecd02915c86d7ab8034b61b19da0e,Mercado de Monte Alto,2024-12-18 11:36:56.429000+00:00,1,14,43,1734521665,15,1,0
030c4027b0bea390e562645c7082db4c,Los Rosales,2024-12-18 11:36:56.486000+00:00,0,25,11,1734521586,25,0,0
0e3aa0134a2f3d07ae5bd093e6af9a33,Plaza de Portugal,2024-12-18 11:36:56.557000+00:00,18,1,55,1734521767,20,17,2
104e0797759d11ac22a61cfed357800b,Ventorrillo,2024-12-18 11:36:56.654000+00:00,5,13,27,1734521601,18,5,0
10af3b0e504fc241415d4047a58bfb5b,Cd Castrillón,2024-12-18 11:36:56.736000+00:00,4,11,23,1734521729,15,4,0
15b6693701eb534cddabc0bdd4c3b8a2, Pablo Picasso,2024-12-18 11:36:56.832000+00:00,6,13,25,1734521747,19,6,0
16d30b6bb080c9ceac0ab0ca3b20111a,Barrio de las Flores,2024-12-18 11:36:56.918000+00:00,9,14,31,1734521737,23,9,0
18b3d4c21c5cec9d8e25fa0a6cab109a,Torre de Hércules,2024-12-18 11:36:57.014000+00:00,6,9,5,1734521619,15,4,2
18e32269ce7f371acf5ca7f016b07a2a,Campo de Marte,2024-12-18 11:36:57.105000+00:00,2,13,17,1734521650,15,2,0
198820c7b5fc5681e896110c4383a4a0,Hospital Abente y Lago,2024-12-18 11:36:57.188000+00:00,5,9,42,1734521706,15,4,1
1a77b47ff9c828307610737e1a9046c3,Plaza de Tabacos,2024-12-18 11:36:57.266000+00:00,0,17,14,1734521737,19,0,0
1df27d4197c65e404466107444967600,Casa del Agua,2024-12-18 11:36:57.347000+00:00,9,3,57,1734521632,16,7,3
2139f0834a27ab807a5edb3420c2841e,Plaza De Pontevedra,2024-12-18 11:36:57.425000+00:00,11,16,3,1734521763,29,10,1
280380564f13b15dbc782a43d2426689,Estación Autobuses,2024-12-18 11:36:57.501000+00:00,3,12,8,1734521639,15,3,0
2ad08bdfd5fda295855b0297d410716f,Orillamar,2024-12-18 11:36:57.591000+00:00,1,14,40,1734521624,15,1,0
2cdf0b7a087c888dee45f8c619ea5bb2,Aquarium,2024-12-18 11:36:57.655000+00:00,5,9,4,1734521635,15,5,0
2d16841278003915e01f897638776f63,Parque de Oza,2024-12-18 11:36:57.694000+00:00,5,10,49,1734521634,15,5,0
305b3112f5f1083876b2ce9146742596,Aparcamiento Matogrande,2024-12-18 11:36:57.730000+00:00,7,7,15,1734521681,15,7,0
447505d0e57db2f71d7572ceedcbb046,Agrela,2024-12-18 11:36:57.765000+00:00,4,18,28,1734521613,23,4,0
4c0262f67097091b43ca54b09a072bce,Paseo de Los Puentes,2024-12-18 11:36:57.798000+00:00,10,9,20,1734521752,19,10,0
5053bbeb34b876b59c45121ab341af93,Ágora,2024-12-18 11:36:57.835000+00:00,0,22,44,1734521612,23,0,0
5330f247a28be53b762427542867dd73,Campo de La Leña (Plaza De España),2024-12-18 11:36:57.881000+00:00,5,7,18,1734521758,15,4,2
7446dcc290f2570a47d4ed2bc9282ceb,Cuatro Caminos,2024-12-18 11:36:57.948000+00:00,4,18,50,1734521741,23,3,1
75e54fb28a5679603047bbd282047916,Puerto - Palexco,2024-12-18 11:36:58.009000+00:00,9,6,6,1734521657,15,7,2
88a676510bd52100c911fb1a9b5f87b4,Expocoruna,2024-12-18 11:36:58.081000+00:00,11,6,33,1734521761,19,9,2
8c078d095787b97917c07ab40bf3594e,Plaza Recife,2024-12-18 11:36:58.143000+00:00,1,14,47,1734521599,15,1,0
8dfd4b95e7f499296e03312c5b1f9e22,Plaza de San Rosendo,2024-12-18 11:36:58.221000+00:00,1,13,19,1734521597,15,1,0
938a003c099dc9b2c7411f2000b88022,Puerta Real,2024-12-18 11:36:58.310000+00:00,9,14,22,1734521669,23,9,0
95a1abdf86ec8d29deb7380938c2e02e,Plaza de Conchiñas,2024-12-18 11:36:58.409000+00:00,3,11,12,1734521711,15,2,2
9ba72d8f143fb690546e6950b2d53c97,Estación Tren,2024-12-18 11:36:58.489000+00:00,5,9,9,1734521607,15,4,1
9e7f93baecab42d934a507a9ef7e5938,Adormideras,2024-12-18 11:36:58.578000+00:00,6,11,26,1734521661,19,6,0
9e84dc079b6d308cb74dedeb0f98f345,Marineda,2024-12-18 11:36:58.686000+00:00,5,17,29,1734521715,23,1,4
a2893fa94f1de9a32b0b210b994f3e10,Parque de Santa Margarita,2024-12-18 11:36:58.792000+00:00,3,10,54,1734521697,13,3,0
a876e4f21fbf7e9873b395485d080c1f,Ciudad Escolar,2024-12-18 11:36:58.869000+00:00,8,11,36,1734521763,19,8,0
b376679bc7b9464f8f0edc775d71d5ad,Parque de Eirís,2024-12-18 11:36:58.948000+00:00,3,15,32,1734521731,19,2,1
b55aa9b4a84ef790d95fe5c43e4bd1ad,Novo Mesoiro,2024-12-18 11:36:41.180000+00:00,2,21,30,1734521703,23,2,0
